"Year","State","type","production","Avg","Measures","Materials","Chemical","Value"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(FLUMIOXAZIN = 129034)","HERBICIDE","1,100"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(OXYFLUORFEN = 111601)","HERBICIDE","1,300"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(PENDIMETHALIN = 108501)","HERBICIDE","5,500"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(TOTAL)","HERBICIDE","10,200"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(ABAMECTIN = 122804)","INSECTICIDE","500"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(ACEQUINOCYL = 6329)","INSECTICIDE","5,400"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(ACETAMIPRID = 99050)","INSECTICIDE","2,800"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(AZADIRACHTIN = 121701)","INSECTICIDE","800"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(BIFENAZATE = 586)","INSECTICIDE","17,900"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(BIFENTHRIN = 128825)","INSECTICIDE","7,300"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(CHLORANTRANILIPROLE = 90100)","INSECTICIDE","1,900"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(CYANTRANILIPROLE = 90098)","INSECTICIDE","900"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(CYFLUMETOFEN = 138831)","INSECTICIDE","5,200"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(ETOXAZOLE = 107091)","INSECTICIDE","1,200"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(FENPROPATHRIN = 127901)","INSECTICIDE","6,000"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(FENPYROXIMATE = 129131)","INSECTICIDE","400"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(FLONICAMID = 128016)","INSECTICIDE","3,300"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(FLUPYRADIFURONE = 122304)","INSECTICIDE","4,800"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(HEXYTHIAZOX = 128849)","INSECTICIDE","2,300"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(IMIDACLOPRID = 129099)","INSECTICIDE","3,500"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(MALATHION = 57701)","INSECTICIDE","56,700"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(METHOXYFENOZIDE = 121027)","INSECTICIDE","3,300"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(NALED = 34401)","INSECTICIDE","12,700"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(NEEM OIL = 25006)","INSECTICIDE","1,100"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(NEEM OIL","INSECTICIDE","51,600"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(NOVALURON = 124002)","INSECTICIDE","4,600"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(PIPERONYL BUTOXIDE = 67501)","INSECTICIDE","1,200"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(PYRETHRINS = 69001)","INSECTICIDE","200"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(PYRIPROXYFEN = 129032)","INSECTICIDE","100"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(SPINETORAM = 110007)","INSECTICIDE","2,300"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(SPINOSAD = 110003)","INSECTICIDE","600"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(SPIROMESIFEN = 24875)","INSECTICIDE","1,800"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(SULFOXAFLOR = 5210)","INSECTICIDE","1,000"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(THIAMETHOXAM = 60109)","INSECTICIDE","1,400"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(TOTAL)","INSECTICIDE","212,600"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(CHLOROPICRIN = 81501)","OTHER","6,146,600"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(DICHLOROPROPENE = 29001)","OTHER","1,045,700"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(FLUTRIAFOL = 128940)","OTHER","1,700"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(IRON PHOSPHATE = 34903)","OTHER","100"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(METAM-POTASSIUM = 39002)","OTHER","254,000"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(METAM-SODIUM = 39003)","OTHER","244,000"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(REYNOUTRIA SACHALINE = 55809)","OTHER","600"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(TOTAL)","OTHER","7,698,900"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB",NA,"(NITROGEN)","668,000"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB",NA,"(PHOSPHATE)","493,000"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB",NA,"(POTASH)","430,000"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB",NA,"(SULFUR)","57,000"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(AZOXYSTROBIN = 128810)","FUNGICIDE","0.205"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(BLAD = 30006)","FUNGICIDE","0.482"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(BORAX DECAHYDRATE = 11102)","FUNGICIDE","0.023"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(BOSCALID = 128008)","FUNGICIDE","0.337"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(CAPTAN = 81301)","FUNGICIDE","1.739"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(CYFLUFENAMID = 555550)","FUNGICIDE","0.023"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(CYPRODINIL = 288202)","FUNGICIDE","0.32"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(DIFENOCONAZOLE = 128847)","FUNGICIDE","0.114"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(FENHEXAMID = 90209)","FUNGICIDE","0.623"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(FLUDIOXONIL = 71503)","FUNGICIDE","0.213"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(FLUOPYRAM = 80302)","FUNGICIDE","0.113"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(FLUXAPYROXAD = 138009)","FUNGICIDE","0.168"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(FOSETYL-AL = 123301)","FUNGICIDE","3.997"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(MEFENOXAM = 113502)","FUNGICIDE","0.493"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(MYCLOBUTANIL = 128857)","FUNGICIDE","0.106"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(PENTHIOPYRAD = 90112)","FUNGICIDE","0.303"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(POLYOXIN D ZINC SALT = 230000)","FUNGICIDE","0.073"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(POTASSIUM BICARBON. = 73508)","FUNGICIDE","2.381"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(PROPICONAZOLE = 122101)","FUNGICIDE","0.112"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(PYRACLOSTROBIN = 99100)","FUNGICIDE","0.169"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(PYRIMETHANIL = 288201)","FUNGICIDE","0.51"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(QUINOLINE = 55459)","FUNGICIDE","0.097"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(SULFUR = 77501)","FUNGICIDE","3.656"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(TETRACONAZOLE = 120603)","FUNGICIDE","0.039"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(THIOPHANATE-METHYL = 102001)","FUNGICIDE","0.669"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(THIRAM = 79801)","FUNGICIDE","2.219"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(TRIFLOXYSTROBIN = 129112)","FUNGICIDE","0.113"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(TRIFLUMIZOLE = 128879)","FUNGICIDE","0.23"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(CARFENTRAZONE-ETHYL = 128712)","HERBICIDE","0.024"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(FLUMIOXAZIN = 129034)","HERBICIDE","0.089"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(OXYFLUORFEN = 111601)","HERBICIDE","0.313"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(PENDIMETHALIN = 108501)","HERBICIDE","1.202"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(ABAMECTIN = 122804)","INSECTICIDE","0.019"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(ACEQUINOCYL = 6329)","INSECTICIDE","0.297"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(ACETAMIPRID = 99050)","INSECTICIDE","0.126"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(AZADIRACHTIN = 121701)","INSECTICIDE","0.034"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(BIFENAZATE = 586)","INSECTICIDE","0.496"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(BIFENTHRIN = 128825)","INSECTICIDE","0.109"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(CHLORANTRANILIPROLE = 90100)","INSECTICIDE","0.067"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(CYANTRANILIPROLE = 90098)","INSECTICIDE","0.111"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(CYFLUMETOFEN = 138831)","INSECTICIDE","0.178"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(ETOXAZOLE = 107091)","INSECTICIDE","0.135"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(FENPROPATHRIN = 127901)","INSECTICIDE","0.286"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(FENPYROXIMATE = 129131)","INSECTICIDE","0.103"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(FLONICAMID = 128016)","INSECTICIDE","0.085"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(FLUPYRADIFURONE = 122304)","INSECTICIDE","0.158"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(HEXYTHIAZOX = 128849)","INSECTICIDE","0.177"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(IMIDACLOPRID = 129099)","INSECTICIDE","0.515"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(MALATHION = 57701)","INSECTICIDE","1.991"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(METHOXYFENOZIDE = 121027)","INSECTICIDE","0.174"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(NALED = 34401)","INSECTICIDE","0.904"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(NEEM OIL = 25006)","INSECTICIDE","0.095"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(NEEM OIL","INSECTICIDE","5.151"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(NOVALURON = 124002)","INSECTICIDE","0.059"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(PIPERONYL BUTOXIDE = 67501)","INSECTICIDE","0.478"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(PYRETHRINS = 69001)","INSECTICIDE","0.044"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(PYRIPROXYFEN = 129032)","INSECTICIDE","0.067"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(SPINETORAM = 110007)","INSECTICIDE","0.068"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(SPINOSAD = 110003)","INSECTICIDE","0.093"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(SPIROMESIFEN = 24875)","INSECTICIDE","0.243"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(SULFOXAFLOR = 5210)","INSECTICIDE","0.069"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(THIAMETHOXAM = 60109)","INSECTICIDE","0.062"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(CHLOROPICRIN = 81501)","OTHER","244.066"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(DICHLOROPROPENE = 29001)","OTHER","83.557"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(FLUTRIAFOL = 128940)","OTHER","0.112"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(IRON PHOSPHATE = 34903)","OTHER","0.161"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(METAM-POTASSIUM = 39002)","OTHER","214.011"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(METAM-SODIUM = 39003)","OTHER","228.063"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(REYNOUTRIA SACHALINE = 55809)","OTHER","0.191"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION",NA,"(NITROGEN)","6"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION",NA,"(PHOSPHATE)","8"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION",NA,"(POTASH)","5"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION",NA,"(SULFUR)","2"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / YEAR","(AZOXYSTROBIN = 128810)","FUNGICIDE","0.447"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / YEAR","(BLAD = 30006)","FUNGICIDE","0.54"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / YEAR","(BORAX DECAHYDRATE = 11102)","FUNGICIDE","0.051"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / YEAR","(BOSCALID = 128008)","FUNGICIDE","0.508"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / YEAR","(CAPTAN = 81301)","FUNGICIDE","10.456"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / YEAR","(CYFLUFENAMID = 555550)","FUNGICIDE","0.034"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / YEAR","(CYPRODINIL = 288202)","FUNGICIDE","0.765"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / YEAR","(DIFENOCONAZOLE = 128847)","FUNGICIDE","0.25"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / YEAR","(FENHEXAMID = 90209)","FUNGICIDE","1.163"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / YEAR","(FLUDIOXONIL = 71503)","FUNGICIDE","0.51"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / YEAR","(FLUOPYRAM = 80302)","FUNGICIDE","0.224"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / YEAR","(FLUXAPYROXAD = 138009)","FUNGICIDE","0.361"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / YEAR","(FOSETYL-AL = 123301)","FUNGICIDE","18.136"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / YEAR","(MEFENOXAM = 113502)","FUNGICIDE","1.215"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / YEAR","(MYCLOBUTANIL = 128857)","FUNGICIDE","0.281"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / YEAR","(PENTHIOPYRAD = 90112)","FUNGICIDE","0.625"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / YEAR","(POLYOXIN D ZINC SALT = 230000)","FUNGICIDE","0.149"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / YEAR","(POTASSIUM BICARBON. = 73508)","FUNGICIDE","2.908"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / YEAR","(PROPICONAZOLE = 122101)","FUNGICIDE","0.174"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / YEAR","(PYRACLOSTROBIN = 99100)","FUNGICIDE","0.317"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / YEAR","(PYRIMETHANIL = 288201)","FUNGICIDE","0.883"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / YEAR","(QUINOLINE = 55459)","FUNGICIDE","0.264"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / YEAR","(SULFUR = 77501)","FUNGICIDE","26.646"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / YEAR","(TETRACONAZOLE = 120603)","FUNGICIDE","0.058"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / YEAR","(THIOPHANATE-METHYL = 102001)","FUNGICIDE","1.041"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / YEAR","(THIRAM = 79801)","FUNGICIDE","5.064"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / YEAR","(TRIFLOXYSTROBIN = 129112)","FUNGICIDE","0.235"
"2019","CALIFORNIA","BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / YEAR","(TRIFLUMIZOLE = 128879)","FUNGICIDE","0.55"
